"NDC","PROD_ID","INA_DT","RIN_DT"
"40986002506",467005,26-MAY-2016 14:44:04,
"65628005101",467034,21-NOV-2016 14:42:47,
"96121000263",467045,,
"49614051472",469377,30-SEP-2009 09:54:58,
"00536311607",469755,06-JAN-2015 15:08:54,
"02359046005",469675,,
"70074050822",469711,,
"68455010844",467633,31-DEC-2009 14:25:12,
"51927436400",467974,,
"11640000122",468223,,
"11640000125",468224,,
"11640000129",468225,,
"11640000132",468226,,
"11640000111",468277,,
"11640000110",468278,,
"11640000114",468279,,
"11640000812",468403,,
"11640000811",468405,,
"11640000815",468407,,
"11640000821",468408,,
"11640000823",468409,,
"11640000825",468410,,
"11640000831",468411,,
"11640000832",468412,,
"11640000834",468413,,
"11640000836",468414,,
"11640000822",468415,,
"11640000004",468416,,
"30768001748",469467,01-SEP-2013 14:54:47,
"41415028173",469518,,
"08508114002",470664,,
"08508112010",470665,,
"66977030606",468759,,
"49614025878",469121,,
"49614025887",469123,,
"94030000201",469098,,
"11845015685",468956,,
"68455010841",469283,,
"68455010838",469271,,
"68455010839",469272,,
"68455010840",469273,31-DEC-2009 14:25:12,
"54629735401",468816,,
"54629036850",468878,,
"79854007006",469333,,
"54629070110",469334,,
"54629077660",469337,,
"08214043514",470379,01-OCT-2016 12:00:32,
"08214025714",470333,01-OCT-2016 12:01:34,
"08214535714",470588,01-OCT-2016 12:15:41,
"66977009768",470992,,
"91268077004",471281,,
"35046000074",471109,,
"35046000051",471095,,
"35046000065",471102,,
"35046000066",471103,,
"35046000068",471104,,
"35046000070",471105,,
"35046000078",471106,,
"35046000077",471107,,
"66977009744",470990,,
"66977009766",470991,,
"68455010399",470049,,
"68455010400",470050,,
"68455010401",470051,,
"68455010402",470052,,
"48503088647",469899,,
"48503088648",469900,,
"48503088645",469901,,
"48503088643",469903,,
"48503088642",469904,,
"48503088646",469905,,
"48503008655",469915,,
"48503008653",469916,,
"48503008652",469917,,
"48503008656",469918,,
"48503088655",469919,,
"48503088653",469920,,
"48503088652",469921,,
"48503088656",469922,,
"48503088685",469927,,
"48503088683",469929,,
"48503088682",469930,,
"48503088686",469931,,
"37205061272",470806,,
"37205061273",470806,,
"37205061271",470806,,
"35046000114",471579,,
"35046055390",471587,,
"35046000213",471581,,
"35046000100",471578,,
"35046000048",471584,,
"35046000056",471585,,
"35046000451",471582,,
"35046000207",471568,,
"35046001212",471586,,
"35046000210",471583,,
"35046000103",471570,,
"35046000141",471580,,
"35046000140",471589,,
"51552130106",472711,01-JAN-2015 09:12:14,
"50428310050",471933,27-JUL-2012 09:40:16,
"37867050107",472434,,
"37867050105",472435,,
"11917009623",472813,,
"57771000123",471011,,
"78573000074",471537,,
"72959008021",471172,,
"08484083225",471625,08-MAY-2012 07:55:44,
"23601000805",471686,,
"51552130008",472763,01-FEB-2014 14:23:39,
"51552130108",472711,10-APR-2013 13:37:06,
"51552130109",472711,10-APR-2013 13:37:22,
"51552128906",472827,10-APR-2013 13:34:53,
"51552128905",472827,10-APR-2013 13:34:38,
"51552117704",472836,01-APR-2015 10:56:42,
"51552127206",472837,10-APR-2013 13:31:21,
"12547032953",472811,12-MAY-2014 08:57:33,
"12547032992",472812,12-MAY-2014 08:52:05,
"12547032993",472814,12-MAY-2014 08:53:30,
"51552126806",472855,,
"08333903010",473476,,
"08333903030",473476,,
"08333903050",473476,,
"08333903070",473477,,
"08333905700",473479,08-MAR-2016 10:36:30,
"08333905710",473479,08-MAR-2016 10:36:59,
"76660030002",473482,,
"98939000234",473083,,
"10486000711",472031,,
"49939100101",472172,08-JUL-2015 08:49:32,
"49939100104",573182,,
"68455010891",472351,31-DEC-2010 12:03:28,
"23601023407",472195,,
"23601023572",472196,,
"00087146401",472207,,
"00087146441",472207,,
"08080670950",472803,,
"59707000166",472416,,
"23601031013",471888,,
"13703022701",471852,,
"13703031221",471855,,
"13703035221",471856,,
"13703031331",471857,,
"13703035331",471858,,
"13703031441",471859,,
"13703035441",471860,,
"13703031541",471861,,
"13703035541",471863,,
"11917009650",472561,,
"10337066669",472259,,
"10337066670",472259,,
"10337066665",472239,,
"10337066666",472239,,
"10337066686",472240,,
"10337066684",472241,,
"10337066672",472265,,
"10337066671",472787,,
"10337073010",472790,20-FEB-2015 09:39:01,
"10337081220",472801,01-APR-2011 14:31:40,
"10337081330",472802,01-APR-2011 14:31:53,
"35356056901",474714,,
"35356056902",474714,14-OCT-2011 11:20:44,
"35356056903",474714,14-OCT-2011 11:20:44,
"35356056905",474714,14-OCT-2011 11:20:44,
"24385006578",79757,25-SEP-2014 12:07:11,09-MAR-2010 10:35:21
"49735018796",473491,,
"11822211520",473492,,
"08137002233",472412,30-SEP-2014 10:27:24,
"08137002232",472413,30-SEP-2014 10:27:04,
"08137002255",472430,30-SEP-2014 10:28:02,
"08137002229",472431,30-SEP-2014 10:26:15,
"08137002230",472432,30-SEP-2014 10:26:42,
"08137001978",472436,30-SEP-2014 10:24:39,
"08137001979",472437,17-MAY-2010 09:21:57,
"08137001980",472438,17-MAY-2010 09:21:57,
"08137001075",472439,03-JAN-2011 09:16:55,
"24385047210",475460,,
"50600052254",475325,02-JAN-2010 09:32:11,
"50600052261",475326,,
"50600052278",475327,,
"50600052285",475329,,
"08004540310",475314,02-AUG-2010 10:37:32,
"08137101676",475251,,
"70074059952",476994,,
"86040000002",474426,,
"47469016176",475081,,
"24385013395",475287,,30-MAR-2010 18:32:09
"18029078066",476610,,
"18029071001",476604,,
"18029071003",476606,,
"18029071004",476607,,
"18029072001",476608,,
"18029072003",476609,,
"18029071002",476605,,
"21695056610",477137,12-APR-2014 08:17:11,
"08137005235",476677,24-FEB-2010 10:31:18,
"08484990235",475858,14-FEB-2011 14:13:22,
"08290381444",476365,,
"35046004166",478323,,
"08290381467",478447,,
"54868611300",478206,07-JUL-2015 13:12:38,
"08380019152",478311,,
"08380019002",478324,,
"08380019052",478325,,
"08380019102",478326,,
"70074053497",478521,,
"70074050838",478531,,
"63981030604",478291,01-DEC-2014 00:00:00,
"40986002543",478582,26-MAY-2016 14:44:04,
"08137102943",477261,,
"08137102933",477262,,
"51552077606",477202,10-APR-2013 16:32:34,
"12843053430",477214,,
"08380019254",477251,,
"08380014909",477252,,
"08380019204",477253,,
"35046014164",477182,,
"24385072742",477612,,
"24385003743",477613,,
"08317500001",478222,,
"08317500050",478223,,
"08317500100",478221,,
"08137004058",477832,,
"08137003109",479530,30-SEP-2014 10:38:14,
"08137003169",479532,30-JUN-2010 10:24:51,
"08137102130",479534,30-SEP-2014 12:46:44,
"08137004306",479547,30-SEP-2014 11:25:10,
"41167033164",479664,,
"41167033095",479391,,
"41167033059",479393,,
"00187136603",479752,,
"00187136812",479771,,
"41167033180",479199,,
"41167033160",479206,,
"83490031058",479142,,
"11822340030",479896,,
"68455010890",479018,31-DEC-2010 12:03:28,
"41415006875",478772,,
"38779256400",478743,01-OCT-2012 10:51:04,
"10267073701",479823,12-SEP-2011 19:36:35,
"08004049400",479979,,
"11822340040",479896,,
"08004053300",478894,12-MAY-2014 09:12:50,
"08137102227",479552,30-SEP-2014 12:48:14,
"08080670930",479763,,
"08080700603",479764,01-NOV-2012 10:02:31,
"08080700604",479809,01-NOV-2012 10:02:55,
"08080700605",479810,01-NOV-2012 10:03:43,
"08080700630",479811,01-NOV-2012 10:02:08,
"08080700640",479812,01-NOV-2012 13:29:34,
"08080700650",479813,01-NOV-2012 10:04:12,
"08080700730",479814,01-NOV-2012 10:04:31,
"08080700740",479815,01-NOV-2012 10:04:56,
"08080800580",479817,01-NOV-2012 08:37:01,
"11822370890",480142,,
"11822393550",480085,,09-JUL-2010 14:33:06
"11822393560",480085,,09-JUL-2010 14:33:48
"70074050828",478811,,
"49735015096",481625,,
"68084043098",481624,,
"64678021105",481062,,
"11822352040",480737,,
"11822489330",480712,,
"11822489320",480714,,
"70074056251",480642,,
"70074056259",480651,,
"70074056495",480688,,
"70074056489",480708,,
"70074056492",480711,,
"70074056471",480695,,
"70074056474",480704,,
"08636012301",480982,,
"08290383510",482012,,
"08290383511",482013,,
"08290383512",482014,,
"08290383516",482015,,
"08290383517",482017,,
"08290383518",482020,,
"08290383519",482022,,
"08290383520",482023,,
"11917011298",482121,,
"11917011299",482122,,
"49348090109",481731,,
"68084043099",481624,,
"89269045222",481874,,
"89269045226",481875,,
"98939000245",481945,,
"08004049800",477681,,
"70074050816",480981,,
"70074053935",480983,,
"70074059650",481045,,
"11822353540",480861,,
"59781056623",482054,,
"70074057431",481421,,05-AUG-2010 08:00:39
"70074056468",481331,,
"70074056459",481334,,
"70074056462",481338,,
"91237000141",480944,,
"91237000142",480945,,
"58487001061",480993,,
"58487001063",480994,,
"93286000007",481381,,
"65702040010",482303,,
"08137102675",482329,,
"08137102799",482330,,
"52372343201",482662,09-NOV-2016 13:39:55,
"52372343205",482662,09-NOV-2016 13:39:55,
"52372343210",482662,07-MAR-2016 00:00:00,
"08004108334",482234,11-FEB-2013 07:43:35,
"08004008795",482225,27-JUN-2014 12:49:55,02-MAY-2011 13:59:00
"08137102796",481841,01-DEC-2015 10:07:33,
"08137102814",481842,12-JUN-2012 11:08:37,
"08137102797",481843,01-DEC-2015 10:07:33,
"08137102705",481844,01-DEC-2015 10:07:33,
"08137102483",481845,,
"08137102704",481846,30-SEP-2014 12:51:02,
"08137102423",481847,,
"36000052818",482488,,
"92771013507",482187,02-DEC-2015 15:00:16,
"92771067502",482188,31-MAR-2016 15:18:06,
"08137105523",482565,30-JUN-2011 10:18:40,
"08137109128",482991,04-AUG-2014 15:01:49,
"12547042833",482994,,
"12547042834",482995,,
"12547042831",482996,19-SEP-2014 09:19:30,
"12547042832",482997,,
"08137108922",482999,,
"08137108923",483000,,
"08004054800",483003,,
"08004081780",483004,05-JAN-2016 15:38:05,
"08004081920",483005,05-JAN-2016 15:24:25,
"08137102114",483006,30-SEP-2014 12:45:40,
"08137102115",483008,30-SEP-2014 12:46:03,
"89269045242",482678,,
"08373812500",483102,,
"88813000024",483052,,
"08373041534",483023,,
"08373072500",483036,,
"11917010457",483141,,
"49022045687",483158,,
"11917011600",483145,,
"36800018104",482772,,
"08373045800",483007,,
"62991285401",483053,,
"62991285404",483053,,
"62991285403",483053,,
"08004041300",484235,,
"08004103100",484259,14-MAY-2014 10:10:26,
"08004073900",484246,14-MAY-2014 12:44:07,
"08004078700",484247,14-MAY-2014 12:45:12,
"08004071000",484248,01-JUL-2013 09:28:59,
"08004105400",484266,15-MAY-2014 11:53:59,
"52372656505",484350,09-NOV-2016 13:39:55,
"52372656501",484350,09-NOV-2016 13:39:55,
"08004052700",484294,01-NOV-2015 15:16:44,
"08004053400",484295,12-MAY-2014 09:10:20,
"08004053900",484296,12-MAY-2014 09:39:10,
"08004057900",484298,12-MAY-2014 12:06:56,
"59409005000",484324,,
"59409005001",484327,,
"59409005002",484328,,
"59409005003",484329,,
"59409005004",484330,,
"59409005005",484331,,
"59409005010",484332,,
"59409005011",484333,,
"59409005013",484334,,
"59409007000",484335,,
"59409007001",484336,,
"59409007006",484337,,
"59409007007",484338,,
"59409007008",484339,,
"86876015954",484323,,
"36800030601",483493,,
"36800030602",483493,,
"36800030603",483493,,
"36800030652",483494,01-DEC-2014 00:00:00,
"08004047300",484273,,
"08004050000",484275,,
"08004050700",484276,01-NOV-2015 15:18:37,
"08004050900",484277,12-MAY-2014 08:35:19,
"12547042516",484279,12-MAY-2014 14:44:59,
"08380089005",484348,,
"90891050120",484252,,
"90891050121",484256,,
"24571011105",483832,,
"00087146541",483737,15-DEC-2015 11:34:45,
"00087146501",483737,15-DEC-2015 11:34:45,
"12547042520",484641,12-MAY-2014 11:38:29,
"12547042525",484642,26-FEB-2015 15:14:12,
"12547042532",484643,12-MAY-2014 14:43:59,
"12547042535",484644,01-NOV-2014 09:19:52,
"08137009773",484697,12-MAY-2014 11:34:09,
"08137009772",484698,12-MAY-2014 11:33:13,
"08137002494",485346,,
"08137002493",485345,,
"12622000602",485328,,
"12622000608",485336,,
"12622000609",485338,,
"12622000601",484889,,
"12622000605",484890,,
"12622000603",485325,,
"12622000606",485326,,
"12622000607",485327,,
"08137008444",485044,,
"08137001176",484992,05-JAN-2015 09:54:36,
"08137001178",484993,05-JAN-2016 10:15:58,
"08137004262",485030,05-JAN-2016 11:23:31,
"08137008488",485046,,
"08137108321",485039,30-SEP-2014 12:56:29,
"08137008414",485048,30-SEP-2014 12:42:09,
"08137008401",485049,30-SEP-2014 12:41:04,
"08137008417",485050,30-SEP-2014 12:42:37,
"08137008821",485051,03-JAN-2011 09:16:55,
"08137105520",485061,30-SEP-2014 12:56:07,
"08137104024",485062,30-SEP-2014 12:54:17,
"08137104003",485063,30-SEP-2014 12:53:39,
"08137102138",485067,30-SEP-2014 12:47:17,
"08137008487",485047,03-JAN-2011 09:16:55,
"08137108322",485038,,
"08137008861",485040,10-JUN-2013 13:13:06,
"08137008853",485041,10-JUN-2013 13:12:52,
"08137008321",485042,,
"08137004815",485078,16-DEC-2013 10:30:32,
"08137008416",485043,,
"08137008480",485045,30-SEP-2014 12:43:11,
"08137005998",485069,04-FEB-2011 09:20:04,
"52800048268",484909,,
"52800048271",484910,04-JUN-2012 11:08:07,
"08137008251",485070,30-SEP-2014 12:40:13,
"08137008263",485071,30-SEP-2014 12:40:36,
"08137004995",485074,01-APR-2011 15:38:22,
"98939000229",484455,,
"98939000231",484456,,
"98939000259",484458,,
"98939000260",484459,,
"98939000246",484452,08-MAY-2014 12:04:34,
"98939000247",484453,08-MAY-2014 12:04:34,
"00430342009",343489,21-MAR-2014 08:25:42,
"62991297001",484797,,
"62991297002",484797,,
"62991260001",484804,,
"62991260002",484804,,
"62991260003",484804,,
"62991260004",484804,,
"62991260005",484804,,
"62991260006",484804,,
"52372091325",484886,07-MAR-2016 00:00:00,
"08137102765",485370,,
"08137001118",484957,30-SEP-2014 10:10:32,
"08137001136",484961,30-SEP-2014 10:10:55,
"52372731501",484722,09-NOV-2016 13:39:55,
"52372731525",484722,07-MAR-2016 00:00:00,
"52372731505",484722,09-NOV-2016 13:39:55,
"08214070740",485506,,
"08214065740",485507,,
"08214025740",485508,,
"08214020740",485509,,
"12277055024",485547,,
"00087165741",485510,,
"00087165701",485510,,
"16500054148",485592,,
"52218000201",485620,,
"42632000808",485598,,
"42632000505",485621,,
"42632000303",485628,,
"08137004871",485650,28-JUL-2014 14:26:09,08-DEC-2010 17:47:05
"08137004872",485651,30-SEP-2014 11:36:37,08-DEC-2010 17:47:49
"30142030602",485946,,
"39423011048",485682,,
"39423022048",485683,,
"39423055048",485684,,
"39423088048",485685,,
"30142030652",485944,01-DEC-2014 00:00:00,
"30142030603",485946,,
"30142030601",485946,,
"30142098200",486013,,
"63948014293",485691,,
"12547023002",485528,01-NOV-2014 10:43:48,
"00363902011",487387,,
"91237000136",487440,,
"91237000135",487443,,
"38779244605",487447,,
"48503002195",487343,,
"48503002193",487344,,
"48503002192",487345,,
"48503002196",487346,,
"48503002535",487361,,
"48503002533",487362,,
"48503002532",487363,,
"48503002536",487364,,
"48503022535",487365,,
"48503022533",487366,,
"48503022532",487367,,
"48503022536",487368,,
"48503012535",487369,,
"48503012533",487370,,
"48503012532",487371,,
"48503012536",487372,,
"48503002545",487373,,
"48503002543",487374,,
"48503002542",487375,,
"48503002546",487376,,
"48503022545",487377,,
"48503022543",487378,,
"48503022542",487379,,
"48503022546",487380,,
"48503012545",487381,,
"48503012543",487382,,
"48503012542",487383,,
"48503012546",487384,,
"48503000705",487244,,
"48503000703",487246,,
"48503000702",487247,,
"48503000706",487248,,
"48503000725",487251,,
"48503000723",487252,,
"48503000722",487253,,
"48503000726",487254,,
"48503000745",487255,,
"48503000743",487256,,
"48503000742",487257,,
"48503000746",487258,,
"48503000815",487259,,
"48503000813",487260,,
"48503000812",487261,,
"48503000816",487262,,
"48503000811",487263,,
"48503000865",487265,,
"48503000863",487266,,
"48503001415",487267,,
"48503001413",487268,,
"48503001412",487269,,
"48503000070",486711,,
"48503000170",486729,,
"48503000430",486731,,
"48503000470",486732,,
"48503001280",486737,,
"48503002110",486742,,
"48503002120",486743,,
"48503002180",486745,,
"48503024600",486755,,
"48503028860",486759,,
"11822028990",487215,,
"11917010727",487271,,
"11917011462",487301,,
"11917011174",487305,,
"48503002555",487605,,
"48503002553",487606,,
"48503002552",487607,,
"48503002556",487608,,
"48503022555",487610,,
"48503022553",487611,,
"48503022552",487612,,
"48503022556",487613,,
"48503012555",487614,,
"48503012553",487615,,
"48503012552",487616,,
"48503012556",487617,,
"48503002635",487618,,
"48503002633",487619,,
"48503002632",487620,,
"48503002636",487621,,
"48503022635",487622,,
"48503022633",487623,,
"48503022632",487624,,
"48503022636",487625,,
"48503012635",487626,,
"48503012633",487627,,
"48503012632",487628,,
"48503012636",487629,,
"48503002645",487632,,
"48503002643",487633,,
"48503002642",487634,,
"48503002646",487635,,
"48503022645",487636,,
"48503022643",487637,,
"48503022642",487638,,
"48503022646",487639,,
"48503012645",487640,,
"48503012643",487641,,
"48503012642",487642,,
"48503012646",487643,,
"48503002655",487649,,
"48503002653",487650,,
"48503002652",487651,,
"48503002656",487652,,
"48503022655",487653,,
"48503022653",487654,,
"48503022652",487655,,
"48503022656",487656,,
"48503012655",487657,,
"48503012653",487658,,
"48503012652",487659,,
"48503012656",487660,,
"48503023015",487812,,
"48503023013",487813,,
"48503023012",487814,,
"48503003015",487816,,
"48503003013",487817,,
"48503003012",487819,,
"48503023025",487820,,
"48503023023",487821,,
"48503023022",487822,,
"48503023026",487823,,
"48503003025",487824,,
"48503003023",487825,,
"48503003022",487826,,
"48503003033",487842,,
"48503003032",487843,,
"48503033045",487857,,
"48503033043",487858,,
"48503033042",487859,,
"48503003035",487841,,
"00573199107",488073,,
"00573199207",488076,,
"48503010076",488321,,
"48503010075",488322,,
"48503010074",488323,,
"48503010073",488324,,
"48503010072",488325,,
"48503010071",488326,,
"48503010082",488327,,
"48503010081",488328,,
"48503010080",488329,,
"48503010079",488330,,
"48503010078",488331,,
"48503010077",488332,,
"08522000043",488387,20-APR-2015 13:33:32,
"08522000052",488389,20-APR-2015 13:33:12,
"08522000050",488390,,
"48503000636",487228,,
"48503000645",487229,,
"48503000643",487230,,
"48503000642",487231,,
"48503000646",487232,,
"48503000655",487233,,
"48503000653",487234,,
"48503000652",487235,,
"48503000656",487236,,
"68455011821",488164,,
"48503061715",487591,,
"48503061713",487592,,
"48503061712",487593,,
"48503061716",487594,,
"48503070425",487595,,
"48503070423",487596,,
"48503070422",487900,,
"48503070426",487901,,
"48503070445",487902,,
"48503070443",487903,,
"48503070442",487904,,
"48503070447",487905,,
"48503070446",487906,,
"48503088658",488071,,
"48503082657",488072,,
"48503082658",488074,,
"48503082655",488075,,
"48503082653",488077,,
"48503082652",488078,,
"48503082656",488080,,
"48503038655",488081,,
"48503038653",488082,,
"48503038652",488083,,
"48503038656",488084,,
"48503088665",488085,,
"48503088663",488086,,
"48503088662",488087,,
"48503088666",488088,,
"48503088675",488089,,
"48503088673",488090,,
"48503088672",488091,,
"48503088676",488092,,
"48503082685",488093,,
"48503082683",488094,,
"48503082682",488095,,
"48503082686",488096,,
"16781020496",488202,24-AUG-2012 09:39:32,
"59262025725",488459,,
